date,rain_clim_mm
1,52.49831818181818
2,58.23464545454545
3,102.0204090909091
4,140.91188181818183
5,85.74830909090909
6,24.74639090909091
7,13.936318181818182
8,51.01717272727273
9,104.44834545454545
10,121.37387272727273
11,114.34001818181818
12,91.00471818181819
